issue_key,dominant_topic,dominant_prob,topic_0_prob,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,topic_5_prob,topic_6_prob,topic_7_prob,topic_8_prob,topic_9_prob,existence,property,executive,issue_type,status
TIKA-126,8,0.9988,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,0.9988,1e-04,True,False,False,New Feature,Closed
TIKA-116,5,0.9986,0.0002,0.0002,0.0002,0.0002,0.0002,0.9986,0.0002,0.0002,0.0002,0.0002,True,False,False,Improvement,Closed
TIKA-105,9,0.9981,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.9981,True,False,True,Improvement,Closed
TIKA-95,0,0.9985,0.9985,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,True,True,False,New Feature,Resolved
TIKA-90,8,0.5616,0.0004,0.0004,0.0004,0.0004,0.4354,0.0004,0.0004,0.0004,0.5616,0.0004,True,True,False,New Feature,Open
TIKA-69,0,0.9953,0.9953,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,True,False,False,Improvement,Closed
TIKA-67,8,0.9987,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,0.9987,1e-04,True,False,False,New Feature,Closed
TIKA-52,5,0.9975,0.0003,0.0003,0.0003,0.0003,0.0003,0.9975,0.0003,0.0003,0.0003,0.0003,True,False,False,Improvement,Closed
TIKA-46,8,0.9901,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.9901,0.0011,True,False,False,Improvement,Closed
TIKA-33,8,0.9966,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.9966,0.0004,True,False,False,Improvement,Closed
TIKA-31,8,0.6164,1e-04,1e-04,1e-04,1e-04,0.3825,1e-04,1e-04,1e-04,0.6164,1e-04,True,False,False,Improvement,Closed
TIKA-24,0,0.5053,0.5053,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.4912,0.0004,True,False,False,Improvement,Closed
TIKA-23,8,0.9987,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,0.9987,1e-04,True,True,False,Improvement,Closed
TIKA-6,8,0.998,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.998,0.0002,True,False,True,New Feature,Closed
TIKA-1508,8,0.9988,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,0.9988,1e-04,True,False,False,Improvement,Resolved
TIKA-2829,6,0.5157,0.0003,0.0003,0.0003,0.0003,0.1215,0.0003,0.5157,0.0003,0.0003,0.3607,False,True,True,Bug,Closed
TIKA-2911,8,0.9936,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.9936,0.0007,True,False,False,Task,Open
TIKA-3638,7,0.5199,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.4754,0.5199,0.0006,0.0006,False,True,True,Bug,Resolved
TIKA-3523,4,0.9996,0.0,0.0,0.0,0.0,0.9996,0.0,0.0,0.0,0.0,0.0,True,False,True,Wish,Open
TIKA-3664,4,0.9992,1e-04,1e-04,1e-04,1e-04,0.9992,1e-04,1e-04,1e-04,1e-04,1e-04,False,True,True,Bug,Resolved
TIKA-3669,7,0.9974,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.9974,0.0003,0.0003,False,True,True,Bug,Resolved
TIKA-3703,4,0.4513,0.0002,0.0002,0.4087,0.0002,0.4513,0.1388,0.0002,0.0002,0.0002,0.0002,True,False,False,Task,Open
TIKA-3681,3,0.9964,0.0004,0.0004,0.0004,0.9964,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,True,False,False,Bug,Open
TIKA-3689,4,0.9977,0.0003,0.0003,0.0003,0.0003,0.9977,0.0003,0.0003,0.0003,0.0003,0.0003,True,False,False,Task,Resolved
TIKA-3695,3,0.9977,0.0003,0.0003,0.0003,0.9977,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,True,False,False,New Feature,Resolved
TIKA-3835,5,0.9995,1e-04,1e-04,1e-04,1e-04,1e-04,0.9995,1e-04,1e-04,1e-04,1e-04,True,False,False,New Feature,Open
TIKA-3836,0,0.9961,0.9961,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,True,False,False,New Feature,Resolved
TIKA-3837,4,0.5045,0.0004,0.0004,0.0004,0.0004,0.5045,0.4922,0.0004,0.0004,0.0004,0.0004,False,True,True,Bug,Closed
TIKA-3725,5,0.9979,0.0002,0.0002,0.0002,0.0002,0.0002,0.9979,0.0002,0.0002,0.0002,0.0002,False,True,True,New Feature,Open
TIKA-3729,7,0.998,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.998,0.0002,0.0002,False,True,True,Bug,Resolved
TIKA-3790,0,0.9959,0.9959,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,True,False,False,Improvement,Resolved
TIKA-3846,0,0.7972,0.7972,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.1915,0.0014,True,False,True,Improvement,Resolved
TIKA-3941,1,0.9983,0.0002,0.9983,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,True,True,False,Task,Resolved
TIKA-3861,8,0.654,0.0008,0.1835,0.0008,0.0008,0.0008,0.1571,0.0008,0.0008,0.654,0.0008,True,False,False,Task,Open
TIKA-3885,5,0.9959,0.0005,0.0005,0.0005,0.0005,0.0005,0.9959,0.0005,0.0005,0.0005,0.0005,True,False,False,Improvement,Resolved
TIKA-3892,4,0.9957,0.0005,0.0005,0.0005,0.0005,0.9957,0.0005,0.0005,0.0005,0.0005,0.0005,True,True,False,Task,Open
TIKA-3900,4,0.9986,0.0002,0.0002,0.0002,0.0002,0.9986,0.0002,0.0002,0.0002,0.0002,0.0002,True,False,True,Improvement,Open
TIKA-3925,6,0.8632,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.8632,0.134,0.0003,0.0003,False,True,True,Bug,Resolved
