issue_key,dominant_topic,dominant_prob,topic_0_prob,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,topic_5_prob,topic_6_prob,topic_7_prob,topic_8_prob,topic_9_prob,existence,property,executive,issue_type,status
TIKA-2890,6,0.9936,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.9936,0.0007,0.0007,0.0007,False,True,True,Improvement,Resolved
TIKA-2885,8,0.5458,0.0002,0.0002,0.0002,0.0002,0.4525,0.0002,0.0002,0.0002,0.5458,0.0002,False,True,True,Bug,Resolved
TIKA-2877,1,0.7012,1e-04,0.7012,1e-04,1e-04,1e-04,1e-04,1e-04,0.298,1e-04,1e-04,False,True,True,Bug,Resolved
TIKA-2841,9,0.9964,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.9964,False,True,True,Task,Resolved
TIKA-2833,0,0.9963,0.9963,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,False,True,False,Task,Resolved
TIKA-2762,1,0.6898,0.0002,0.6898,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.3085,0.0002,True,True,False,Improvement,Resolved
TIKA-2749,9,0.5195,0.0003,0.0003,0.4782,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.5195,True,False,False,Task,Open
TIKA-2725,4,0.9986,0.0002,0.0002,0.0002,0.0002,0.9986,0.0002,0.0002,0.0002,0.0002,0.0002,False,True,True,Task,Resolved
TIKA-2720,8,0.9983,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.9983,0.0002,True,False,False,New Feature,Open
TIKA-2717,4,0.9996,0.0,0.0,0.0,0.0,0.9996,0.0,0.0,0.0,0.0,0.0,False,True,True,Bug,Resolved
TIKA-2686,4,0.9987,1e-04,1e-04,1e-04,1e-04,0.9987,1e-04,1e-04,1e-04,1e-04,1e-04,False,True,True,Bug,Resolved
TIKA-2662,7,0.7257,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.7257,0.2725,0.0002,True,False,False,Task,Resolved
TIKA-2585,5,0.9988,1e-04,1e-04,1e-04,1e-04,1e-04,0.9988,1e-04,1e-04,1e-04,1e-04,True,False,False,Improvement,Resolved
TIKA-2577,4,0.9991,1e-04,1e-04,1e-04,1e-04,0.9991,1e-04,1e-04,1e-04,1e-04,1e-04,False,True,True,Bug,Resolved
TIKA-2514,8,0.9987,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,0.9987,1e-04,False,True,False,Improvement,Open
TIKA-2499,4,0.9998,0.0,0.0,0.0,0.0,0.9998,0.0,0.0,0.0,0.0,0.0,False,True,True,Bug,Resolved
TIKA-2434,6,0.9978,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.9978,0.0002,0.0002,0.0002,False,True,True,Bug,Open
TIKA-2402,8,0.9431,0.0003,0.0541,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.9431,0.0003,True,False,False,Sub-task,Resolved
TIKA-2400,8,0.9968,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.9968,0.0004,True,True,False,Sub-task,Resolved
TIKA-2398,8,0.9995,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,0.9995,1e-04,True,False,True,Improvement,Open
TIKA-2369,7,0.9981,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.9981,0.0002,0.0002,True,False,False,Bug,Open
TIKA-2349,1,0.6383,0.3605,0.6383,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,True,False,False,Improvement,Resolved
TIKA-2322,1,0.9984,0.0002,0.9984,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,True,False,True,Improvement,Resolved
TIKA-2263,5,0.9991,1e-04,1e-04,1e-04,1e-04,1e-04,0.9991,1e-04,1e-04,1e-04,1e-04,True,False,True,Improvement,Open
TIKA-2222,8,0.9993,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,0.9993,1e-04,True,False,False,Improvement,Open
TIKA-2075,9,0.7632,0.0007,0.2315,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.7632,True,False,False,Improvement,In Progress
TIKA-2021,1,0.9062,0.0002,0.9062,0.0922,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,False,True,False,Improvement,Resolved
TIKA-2016,5,0.5302,0.0006,0.0006,0.0006,0.0006,0.0006,0.5302,0.4654,0.0006,0.0006,0.0006,True,False,True,New Feature,Resolved
TIKA-1993,2,0.9975,0.0003,0.0003,0.9975,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,True,False,True,New Feature,Resolved
TIKA-1978,0,0.8668,0.8668,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.1313,0.0002,0.0002,False,True,True,Bug,Resolved
TIKA-1954,5,0.9967,0.0004,0.0004,0.0004,0.0004,0.0004,0.9967,0.0004,0.0004,0.0004,0.0004,True,False,False,Sub-task,Open
TIKA-1913,1,0.9981,0.0002,0.9981,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,True,False,True,New Feature,Resolved
TIKA-1909,8,0.9957,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.9957,0.0005,True,False,False,Improvement,Resolved
TIKA-1903,8,0.8425,0.0005,0.0005,0.1537,0.0005,0.0005,0.0005,0.0005,0.0005,0.8425,0.0005,False,True,False,Improvement,Open
TIKA-1814,4,0.5568,1e-04,1e-04,1e-04,1e-04,0.5568,1e-04,1e-04,1e-04,0.4421,1e-04,True,False,False,Improvement,Open
TIKA-1797,0,0.9983,0.9983,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,True,False,False,Sub-task,Open
TIKA-1744,4,0.9973,0.0003,0.0003,0.0003,0.0003,0.9973,0.0003,0.0003,0.0003,0.0003,0.0003,True,False,True,Sub-task,Resolved
TIKA-1734,4,0.9982,0.0002,0.0002,0.0002,0.0002,0.9982,0.0002,0.0002,0.0002,0.0002,0.0002,True,False,False,Sub-task,Resolved
TIKA-1722,7,0.9989,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,0.9989,1e-04,1e-04,False,True,False,Improvement,Resolved
TIKA-1691,3,0.9996,0.0,0.0,0.0,0.9996,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,New Feature,Open
TIKA-1683,8,0.9947,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.9947,0.0006,False,True,False,New Feature,Resolved
TIKA-1680,9,0.9993,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,0.9993,True,False,False,Improvement,Open
TIKA-1668,8,0.9957,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.9957,0.0005,True,False,False,Sub-task,Open
TIKA-1629,3,0.9976,0.0003,0.0003,0.0003,0.9976,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,True,True,False,Bug,Resolved
TIKA-1614,0,0.9995,0.9995,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,True,False,False,New Feature,Resolved
