issue_key,dominant_topic,dominant_prob,topic_0_prob,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,topic_5_prob,topic_6_prob,existence,property,executive,issue_type,status
TIKA-550,1,0.8571,0.141,0.8571,0.0004,0.0004,0.0004,0.0004,0.0004,True,False,False,Improvement,Resolved
TIKA-524,0,0.9992,0.9992,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,True,False,False,Improvement,Open
TIKA-504,3,0.9261,1e-04,1e-04,0.0734,0.9261,1e-04,1e-04,1e-04,True,False,False,Improvement,Resolved
TIKA-488,1,0.999,0.0002,0.999,0.0002,0.0002,0.0002,0.0002,0.0002,True,False,True,Improvement,Resolved
TIKA-483,6,0.9979,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.9979,True,False,False,Bug,Resolved
TIKA-482,1,0.7515,1e-04,0.7515,0.2478,1e-04,1e-04,1e-04,1e-04,True,False,False,Improvement,Resolved
TIKA-456,4,0.9996,1e-04,1e-04,1e-04,1e-04,0.9996,1e-04,1e-04,True,False,False,Improvement,Resolved
TIKA-447,4,0.9987,0.0002,0.0002,0.0002,0.0002,0.9987,0.0002,0.0002,True,True,False,New Feature,Closed
TIKA-445,1,0.9982,0.0003,0.9982,0.0003,0.0003,0.0003,0.0003,0.0003,True,False,False,New Feature,Closed
TIKA-443,1,0.9981,0.0003,0.9981,0.0003,0.0003,0.0003,0.0003,0.0003,True,False,False,New Feature,Resolved
TIKA-440,1,0.9965,0.0006,0.9965,0.0006,0.0006,0.0006,0.0006,0.0006,True,False,False,New Feature,Resolved
TIKA-416,4,0.915,0.0002,0.0002,0.0002,0.0002,0.915,0.0002,0.0839,False,True,False,New Feature,Closed
TIKA-420,4,0.6933,0.0238,0.278,0.0048,0.0,0.6933,0.0,0.0,True,True,True,New Feature,Resolved
TIKA-383,1,0.9976,0.0004,0.9976,0.0004,0.0004,0.0004,0.0004,0.0004,True,False,False,Improvement,Resolved
TIKA-372,4,0.9348,0.0003,0.0003,0.0003,0.0003,0.9348,0.0003,0.0638,True,False,False,Improvement,Resolved
TIKA-369,6,0.9993,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,0.9993,False,True,False,Improvement,Resolved
TIKA-322,4,0.5004,0.4981,0.0003,0.0003,0.0003,0.5004,0.0003,0.0003,False,True,True,Improvement,Resolved
TIKA-342,0,0.9979,0.9979,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,True,False,False,Improvement,Resolved
TIKA-337,0,0.9989,0.9989,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,True,False,True,New Feature,Resolved
TIKA-333,1,0.7358,0.263,0.7358,0.0002,0.0002,0.0002,0.0002,0.0002,False,True,True,Improvement,Closed
TIKA-270,6,0.9882,0.002,0.002,0.002,0.002,0.002,0.002,0.9882,False,True,False,Bug,Resolved
TIKA-261,6,0.9981,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.9981,True,True,False,New Feature,Resolved
