lda_topic,0,1,2,3,4,5,6
0,6,4,1,1,1,2,2
1,15,15,6,10,4,4,9
2,2,4,3,0,0,0,0
3,2,4,14,1,0,0,0
4,14,7,5,18,24,15,6
5,1,0,3,0,0,0,0
6,4,1,1,1,0,1,0
