issue_key,dominant_topic,dominant_prob,topic_0_prob,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,topic_5_prob,topic_6_prob
TIKA-815,5,0.9988,0.0002,0.0002,0.0002,0.0002,0.0002,0.9988,0.0002
TIKA-814,0,0.9993,0.9993,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
TIKA-785,2,0.7548,0.244,0.0002,0.7548,0.0002,0.0002,0.0002,0.0002
TIKA-775,1,0.999,0.0002,0.999,0.0002,0.0002,0.0002,0.0002,0.0002
TIKA-774,2,0.9995,0.0001,0.0001,0.9995,0.0001,0.0001,0.0001,0.0001
TIKA-773,1,0.9982,0.0003,0.9982,0.0003,0.0003,0.0003,0.0003,0.0003
TIKA-759,4,0.5338,0.0002,0.1078,0.0687,0.0902,0.5338,0.0002,0.1993
TIKA-746,0,0.9992,0.9992,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
TIKA-710,3,0.9978,0.0004,0.0004,0.0004,0.9978,0.0004,0.0004,0.0004
TIKA-669,4,0.999,0.0002,0.0002,0.0002,0.0002,0.999,0.0002,0.0002
TIKA-662,4,0.6442,0.0001,0.3551,0.0001,0.0001,0.6442,0.0001,0.0001
TIKA-625,3,0.6555,0.0002,0.0002,0.0002,0.6555,0.3434,0.0002,0.0002
TIKA-605,1,0.9976,0.0004,0.9976,0.0004,0.0004,0.0004,0.0004,0.0004
TIKA-591,1,0.999,0.0002,0.999,0.0002,0.0002,0.0002,0.0002,0.0002
TIKA-590,0,0.9986,0.9986,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
TIKA-569,1,0.9977,0.0004,0.9977,0.0004,0.0004,0.0004,0.0004,0.0004
TIKA-550,4,0.9978,0.0004,0.0004,0.0004,0.0004,0.9978,0.0004,0.0004
TIKA-524,5,0.9992,0.0001,0.0001,0.0001,0.0001,0.0001,0.9992,0.0001
TIKA-504,2,0.9994,0.0001,0.0001,0.9994,0.0001,0.0001,0.0001,0.0001
TIKA-488,6,0.999,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.999
TIKA-483,0,0.8588,0.8588,0.0004,0.0004,0.0004,0.1394,0.0004,0.0004
TIKA-482,2,0.9992,0.0001,0.0001,0.9992,0.0001,0.0001,0.0001,0.0001
TIKA-456,2,0.9996,0.0001,0.0001,0.9996,0.0001,0.0001,0.0001,0.0001
TIKA-447,4,0.5389,0.0002,0.0002,0.0002,0.46,0.5389,0.0002,0.0002
TIKA-445,3,0.9982,0.0003,0.0003,0.0003,0.9982,0.0003,0.0003,0.0003
TIKA-443,0,0.9981,0.9981,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
TIKA-440,5,0.9965,0.0006,0.0006,0.0006,0.0006,0.0006,0.9965,0.0006
TIKA-416,6,0.5945,0.0002,0.0002,0.0002,0.0002,0.4044,0.0002,0.5945
TIKA-420,5,0.9998,0.0,0.0,0.0,0.0,0.0,0.9998,0.0
TIKA-383,5,0.7183,0.0004,0.0004,0.0004,0.0004,0.2797,0.7183,0.0004
TIKA-372,3,0.9983,0.0003,0.0003,0.0003,0.9983,0.0003,0.0003,0.0003
TIKA-369,5,0.9993,0.0001,0.0001,0.0001,0.0001,0.0001,0.9993,0.0001
TIKA-322,0,0.9982,0.9982,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
TIKA-342,6,0.9979,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.9979
TIKA-337,1,0.7276,0.0002,0.7276,0.0002,0.0002,0.2715,0.0002,0.0002
TIKA-333,4,0.9985,0.0002,0.0002,0.0002,0.0002,0.9985,0.0002,0.0002
TIKA-270,5,0.9882,0.002,0.002,0.002,0.002,0.002,0.9882,0.002
TIKA-261,4,0.9981,0.0003,0.0003,0.0003,0.0003,0.9981,0.0003,0.0003
TIKA-238,1,0.5748,0.0001,0.5748,0.4245,0.0001,0.0001,0.0001,0.0001
TIKA-216,4,0.9991,0.0002,0.0002,0.0002,0.0002,0.9991,0.0002,0.0002
TIKA-99,1,0.6047,0.0003,0.6047,0.0003,0.0003,0.3937,0.0003,0.0003
TIKA-203,4,0.9994,0.0001,0.0001,0.0001,0.0001,0.9994,0.0001,0.0001
TIKA-172,4,0.9998,0.0,0.0,0.0,0.0,0.9998,0.0,0.0
TIKA-153,1,0.5724,0.0002,0.5724,0.0002,0.0002,0.4263,0.0002,0.0002
TIKA-143,4,0.7225,0.2764,0.0002,0.0002,0.0002,0.7225,0.0002,0.0002
TIKA-139,4,0.6992,0.0006,0.2978,0.0006,0.0006,0.6992,0.0006,0.0006
TIKA-137,0,0.9986,0.9986,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
TIKA-132,3,0.9993,0.0001,0.0001,0.0001,0.9993,0.0001,0.0001,0.0001
TIKA-126,2,0.4889,0.0001,0.1427,0.4889,0.0001,0.3678,0.0001,0.0001
TIKA-116,4,0.5721,0.0002,0.4271,0.0002,0.0002,0.5721,0.0002,0.0002
TIKA-105,1,0.9987,0.0002,0.9987,0.0002,0.0002,0.0002,0.0002,0.0002
TIKA-95,4,0.999,0.0002,0.0002,0.0002,0.0002,0.999,0.0002,0.0002
TIKA-90,2,0.6603,0.0004,0.0004,0.6603,0.0004,0.3378,0.0004,0.0004
TIKA-69,3,0.9969,0.0005,0.0005,0.0005,0.9969,0.0005,0.0005,0.0005
TIKA-67,2,0.8233,0.0001,0.176,0.8233,0.0001,0.0001,0.0001,0.0001
TIKA-52,2,0.9983,0.0003,0.0003,0.9983,0.0003,0.0003,0.0003,0.0003
TIKA-46,4,0.9934,0.0011,0.0011,0.0011,0.0011,0.9934,0.0011,0.0011
TIKA-33,2,0.5907,0.0004,0.4074,0.5907,0.0004,0.0004,0.0004,0.0004
TIKA-31,2,0.9992,0.0001,0.0001,0.9992,0.0001,0.0001,0.0001,0.0001
TIKA-24,1,0.5319,0.0004,0.5319,0.3173,0.0004,0.0004,0.0004,0.1491
TIKA-23,1,0.5629,0.0001,0.5629,0.4363,0.0001,0.0001,0.0001,0.0001
TIKA-6,4,0.9986,0.0002,0.0002,0.0002,0.0002,0.9986,0.0002,0.0002
TIKA-1508,2,0.9992,0.0001,0.0001,0.9992,0.0001,0.0001,0.0001,0.0001
TIKA-2829,1,0.5368,0.0003,0.5368,0.0003,0.0003,0.0003,0.2929,0.1691
TIKA-2911,3,0.9957,0.0007,0.0007,0.0007,0.9957,0.0007,0.0007,0.0007
TIKA-3638,3,0.9965,0.0006,0.0006,0.0006,0.9965,0.0006,0.0006,0.0006
TIKA-3523,1,0.9997,0.0,0.9997,0.0,0.0,0.0,0.0,0.0
TIKA-3664,1,0.9256,0.0001,0.9256,0.074,0.0001,0.0001,0.0001,0.0001
TIKA-3669,3,0.9983,0.0003,0.0003,0.0003,0.9983,0.0003,0.0003,0.0003
TIKA-3703,4,0.999,0.0002,0.0002,0.0002,0.0002,0.999,0.0002,0.0002
TIKA-3681,1,0.9976,0.0004,0.9976,0.0004,0.0004,0.0004,0.0004,0.0004
TIKA-3689,4,0.9985,0.0003,0.0003,0.0003,0.0003,0.9985,0.0003,0.0003
TIKA-3695,4,0.9985,0.0003,0.0003,0.0003,0.0003,0.9985,0.0003,0.0003
TIKA-3835,5,0.9997,0.0001,0.0001,0.0001,0.0001,0.0001,0.9997,0.0001
TIKA-3836,2,0.9974,0.0004,0.0004,0.9974,0.0004,0.0004,0.0004,0.0004
TIKA-3837,1,0.9975,0.0004,0.9975,0.0004,0.0004,0.0004,0.0004,0.0004
TIKA-3725,1,0.6778,0.0002,0.6778,0.321,0.0002,0.0002,0.0002,0.0002
TIKA-3729,1,0.9987,0.0002,0.9987,0.0002,0.0002,0.0002,0.0002,0.0002
TIKA-3790,1,0.9973,0.0005,0.9973,0.0005,0.0005,0.0005,0.0005,0.0005
TIKA-3846,2,0.9915,0.0014,0.0014,0.9915,0.0014,0.0014,0.0014,0.0014
TIKA-3941,3,0.9989,0.0002,0.0002,0.0002,0.9989,0.0002,0.0002,0.0002
TIKA-3861,3,0.4343,0.0008,0.0008,0.4315,0.4343,0.1311,0.0008,0.0008
TIKA-3885,3,0.9973,0.0005,0.0005,0.0005,0.9973,0.0005,0.0005,0.0005
TIKA-3892,1,0.87,0.0005,0.87,0.0005,0.0005,0.0005,0.0005,0.1276
TIKA-3900,1,0.9991,0.0002,0.9991,0.0002,0.0002,0.0002,0.0002,0.0002
TIKA-3925,1,0.9979,0.0003,0.9979,0.0003,0.0003,0.0003,0.0003,0.0003
