k,coherence_cv
1,0.22280570159267907
2,0.22695319480630288
3,0.25392054542593817
4,0.26112705822265686
5,0.3155540033009302
6,0.3419505416569015
7,0.3461873512866866
8,0.3298683609810214
9,0.32678871988593794
10,0.33128291751265115
